feature,missing_pct,coef,abs_coef
ConfTourneyWins_diff,1.0,-0.1748953091614324,0.1748953091614324
ESPNRank_diff,1.0,0.11568786938570035,0.11568786938570035
FTESeedResidualDiff,1.0,-0.07985137567566783,0.07985137567566783
SeedPower_diff,1.0,-0.07339994858725998,0.07339994858725998
FTERank_diff,1.0,0.06886824630839737,0.06886824630839737
ProgramTourneyEff_diff,1.0,-0.061122463373484585,0.061122463373484585
SeedNum_diff,1.0,-0.0394252932979403,0.0394252932979403
ESPNSeedResidualDiff,1.0,0.023965574540781933,0.023965574540781933
FTERating_diff,1.0,-0.015906337399171307,0.015906337399171307
SeedMatchupUpsetRate,1.0,0.010083330202926509,0.010083330202926509
ESPNVotes_diff,1.0,0.006067713540546588,0.006067713540546588
NetRtgVsSeed,1.0,-0.0004491816654115403,0.0004491816654115403
FTESeedResidualInteraction,1.0,5.0617424963620825e-05,5.0617424963620825e-05
SeedResidualInteraction,1.0,-1.2332403875353666e-05,1.2332403875353666e-05
H2HWinPct,0.9399875195957567,-0.08053555401121626,0.08053555401121626
H2HMargin,0.9399875195957567,0.025060189746468675,0.025060189746468675
NeutralWinPct_diff,0.588633700135458,-0.24134821944782914,0.24134821944782914
WinPctStd3_diff,0.011004063741381673,0.052866243402822144,0.052866243402822144
CloseWinPct_diff,0.005509641873278237,-0.628515066913389,0.628515066913389
AST_TO_diff,0.0,0.14452024523771714,0.14452024523771714
WinPct_diff,0.0,-0.14428540814989516,0.14428540814989516
HomeWinPct_diff,0.0,-0.0798178948285637,0.0798178948285637
AwayWinPct_diff,0.0,-0.07905082345866578,0.07905082345866578
MarginAvg_diff,0.0,0.07420803916227713,0.07420803916227713
Last10NetRtg_diff,0.0,-0.06113243943506703,0.06113243943506703
Last5NetRtg_diff,0.0,-0.043941140892221855,0.043941140892221855
DREB_rate_diff,0.0,-0.0438610909761566,0.0438610909761566
OREB_rate_diff,0.0,0.04386109097615,0.04386109097615
OppNetRtg_diff,0.0,0.028230628015398173,0.028230628015398173
AdjNetRtg_diff,0.0,-0.02421045877993832,0.02421045877993832
eFG_diff,0.0,-0.023023966758134975,0.023023966758134975
TS_diff,0.0,-0.020040115661466025,0.020040115661466025
TrendNetRtg_diff,0.0,0.01719129854284697,0.01719129854284697
MarginStd_diff,0.0,0.014741655454911953,0.014741655454911953
TO_rate_diff,0.0,0.01015604548282736,0.01015604548282736
NetRtg_diff,0.0,-0.008386752784894598,0.008386752784894598
Elo_diff,0.0,0.006178748365058466,0.006178748365058466
ClassicUpsetSeed,0.0,0.005626033753098606,0.005626033753098606
OppElo_diff,0.0,0.004996234576099755,0.004996234576099755
H2HGames,0.0,0.002543968072062405,0.002543968072062405
ConferenceElo_diff,0.0,0.0008877603972203764,0.0008877603972203764
CoachTenureYears_diff,0.0,,
CoachIsInterim_diff,0.0,,
CoachIsVacant_diff,0.0,,
