Rk,Team,Conf,W-L,NetRtg,ORtg,ORtgRank,DRtg,DRtgRank,AdjT,AdjTRank,Luck,LuckRank,NetRtg2,NetRtg2Rank,ORtg2,ORtg2Rank,DRtg2,DRtg2Rank,NetRtg3,NetRtg3Rank,Trapezoid,Odds,Other,Injuries
1,Duke 1,ACC,32+2,38.9,128.0,4,89.1,2,65.3,287,0.049,63,14.29,15,117,24,102.7,10,10.07,18,Trapezoid,+300,Top Off & Def,Caleb Foster (9 Pts/4 Reb/3 Ast)
2,Arizona 1,B12,32-2,37.66,127.7,5,90.0,3,69.8,54,0.023,127,14.97,9,117.6,15,102.7,7,3.25,102,Trapezoid,+390,Top Off & Def,
3,Michigan 1,B10,31-3,37.59,126.6,8,89.0,1,70.9,22,0.045,70,16.65,3,119.1,4,102.5,5,12.49,11,Trapezoid,+360,Top Off & Def,L.J. Cason (8 Pts/2 Reb/2 Ast)
4,Florida 1,SEC,26-7,33.79,125.5,9,91.7,6,70.5,28,-0.036,289,16.01,5,119.4,3,103.4,26,7.96,29,Fringe Trap - Too Fast,+750,Top Off & Def,
5,Houston 2,B12,28-6,33.43,124.9,14,91.4,5,63.3,352,-0.006,203,13.58,24,116.9,25,103.3,24,0.87,156,Slowest Pace,+1000,Top Off & Def,
6,Iowa St. 2,B12,27-7,32.42,123.8,21,91.4,4,66.5,225,-0.012,219,12.44,31,115.6,48,103.1,20,-3.57,280,Trapezoid,+1500,Top Off & Def,
7,Illinois 3,B10,24-8,32.1,131.2,2,99.1,28,65.5,277,-0.05,305,13.64,23,117,22,103.4,28,3.76,91,Fringe Trap - Too Slow,+1900,Top Off & Fringe Def,
8,Purdue 2,B10,27-8,31.2,131.6,1,100.4,36,64.4,324,-0.006,198,15.88,7,118.3,9,102.5,4,6.31,50,+2500,,,
9,Michigan St. 3,B10,25-7,28.31,123.0,24,94.7,13,66.0,252,0.005,178,13.69,21,118,11,104.4,55,3.65,93,Fringe Trap - Net Rating,+4000,Top Off & Def,
10,Gonzaga 3,WCC,30-3,28.1,122.0,29,93.9,9,68.6,111,0.072,28,5.89,87,113,82,107.1,98,8.31,26,Trapezoid,+4000,Top Off & Def,(Q)Braden Huff (18 Pts/6 Reb/2 Ast)
11,Connecticut 2,BE,29-5,27.87,122.0,30,94.1,11,64.4,322,0.055,55,12.01,36,115.3,53,103.3,23,7.63,38,Fringe Trap - Too Slow,+2500,Top Off & Def,
12,Vanderbilt 5,SEC,26-8,27.51,126.8,7,99.3,31,68.8,98,0.018,133,14.56,13,118,13,103.4,29,1.16,148,Fringe Trap - Net Rating,+7500,Top Off & Fringe Def,
13,Virginia 3,ACC,29-5,26.71,122.5,27,95.8,16,65.7,271,0.056,52,9.95,70,115.4,49,105.5,73,-3.27,273,Fringe Trap - Too Slow,+7500,Top Off & Def,
14,Nebraska 4,B10,26-6,26.16,118.5,55,92.4,7,66.7,218,0.034,98,11.59,42,116.4,32,104.8,63,-6.03,319,+10000,,,
15,Arkansas 4,SEC,26-8,26.05,127.7,6,101.6,48,71.0,20,0.051,61,14.95,10,118.9,7,103.9,38,4.41,81,+6000,(Q)Karter Knox (8 Pts/5 Reb/1 Ast),,
16,Tennessee 6,SEC,22-11,26.02,121.1,37,95.0,15,65.0,307,-0.06,321,14.77,11,119,5,104.3,50,0.75,160,+12000,Top Off & Def,,
