feature,coef
Elo_diff,0.006178748365058466
AdjNetRtg_diff,-0.02421045877993832
Last5NetRtg_diff,-0.043941140892221855
Last10NetRtg_diff,-0.06113243943506703
TrendNetRtg_diff,0.01719129854284697
NetRtg_diff,-0.008386752784894598
eFG_diff,-0.023023966758134975
TS_diff,-0.020040115661466025
OREB_rate_diff,0.04386109097615
DREB_rate_diff,-0.0438610909761566
TO_rate_diff,0.01015604548282736
AST_TO_diff,0.14452024523771714
SeedNum_diff,-0.0394252932979403
SeedPower_diff,-0.07339994858725998
ConferenceElo_diff,0.0008877603972203764
OppElo_diff,0.004996234576099755
OppNetRtg_diff,0.028230628015398173
ConfTourneyWins_diff,-0.1748953091614324
ProgramTourneyEff_diff,-0.061122463373484585
WinPct_diff,-0.14428540814989516
MarginAvg_diff,0.07420803916227713
MarginStd_diff,0.014741655454911953
CloseWinPct_diff,-0.628515066913389
HomeWinPct_diff,-0.0798178948285637
AwayWinPct_diff,-0.07905082345866578
NeutralWinPct_diff,-0.24134821944782914
ESPNRank_diff,0.11568786938570035
ESPNVotes_diff,0.006067713540546588
FTERank_diff,0.06886824630839737
FTERating_diff,-0.015906337399171307
WinPctStd3_diff,0.052866243402822144
H2HGames,0.002543968072062405
H2HWinPct,-0.08053555401121626
H2HMargin,0.025060189746468675
ClassicUpsetSeed,0.005626033753098606
SeedMatchupUpsetRate,0.010083330202926509
NetRtgVsSeed,-0.0004491816654115403
ESPNSeedResidualDiff,0.023965574540781933
SeedResidualInteraction,-1.2332403875353666e-05
FTESeedResidualDiff,-0.07985137567566783
FTESeedResidualInteraction,5.0617424963620825e-05
